date,SPX,FTSE,DAX,N225,HSI,CAC
2005-06-23,-0.0108330513,0.0029612100,0.0017057500,0.0025520924,0.0020775975,0.0025133576
2005-06-24,-0.0076287211,-0.0069216141,-0.0131821208,-0.0034309911,0.0028082010,-0.0095066853
2005-06-27,-0.0007385256,-0.0069895649,-0.0093420220,-0.0106396531,-0.0038122905,-0.0100455348
2005-06-28,0.0091375634,0.0092990785,0.0074362238,0.0087215140,0.0078583575,0.0088149884
2005-06-29,-0.0014314362,0.0036736201,0.0057422165,0.0055246908,-0.0007111250,0.0089525154
2005-06-30,-0.0071009040,0.0008025088,0.0005781231,0.0005674256,-0.0053386010,-0.0005977923
2005-07-05,0.0114662056,0.0150394859,0.0037874090,0.0028220306,-0.0053700053,0.0055327419
2005-07-06,-0.0083403588,0.0076106432,0.0025719445,-0.0011337059,0.0017791320,0.0063959074
2005-07-07,0.0024520510,-0.0136339857,-0.0184834231,-0.0011540130,-0.0084184247,-0.0138623291
2005-07-08,0.0116790556,0.0143265016,0.0149640934,-0.0020836172,-0.0047281551,0.0188810978
2005-07-11,0.0062548117,0.0019494107,0.0142257703,0.0094068733,0.0138043557,0.0049415041
2005-07-12,0.0022715506,-0.0048069028,-0.0022194412,0.0014860746,-0.0007268393,-0.0018003391
2005-07-13,0.0008837091,0.0055009787,0.0057726584,-0.0027625230,0.0113345709,0.0069174444
2005-07-14,0.0026240391,0.0026306817,0.0041410978,0.0089555194,0.0128773589,0.0062758172
2005-07-15,0.0011578018,-0.0054756530,0.0029004255,-0.0004743246,0.0008798237,0.0006612254
2005-07-19,0.0011645153,-0.0056012933,0.0122302909,0.0005238816,0.0043745813,0.0115415260
2005-07-20,0.0047585925,0.0026145989,0.0029262852,0.0020833064,0.0023998205,-0.0013244874
2005-07-21,-0.0066061467,0.0012271633,0.0094827291,-0.0002221616,0.0011942622,0.0016454001
2005-07-22,0.0054114083,0.0038684899,0.0014554812,-0.0077782948,0.0113761097,-0.0022912145
2005-07-25,-0.0037692304,0.0055134480,0.0011991757,0.0057802735,0.0005119760,0.0014947498
2005-07-26,0.0017330780,-0.0027510576,0.0001631402,-0.0020990533,-0.0016290751,-0.0003030972
2005-07-27,0.0045729269,0.0014078426,0.0024486192,0.0082740201,0.0021618697,0.0027936469
